run_id,sweep_id,status,git_sha,config_hash,timestamp_utc,test_acc,test_auc,best_val_acc,best_val_epoch,chance_floor,train_time_sec,dataset,lr,batchSize,epochs,optimizer,augmentation,seed,architecture,gpu,host
002_organ_lr/run_027,002_organ_lr,complete,75ab7b5,327afad7,2026-05-28T17:57:11Z,0.936065573770492,0.996638390150937,NaN,NaN,0.113114754098361,56,organmnist3d,0.0003,16,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_043,002_organ_lr,complete,75ab7b5,4e9aff6e,2026-05-28T18:10:05Z,0.931147540983607,0.996792164715854,NaN,NaN,0.113114754098361,60,organmnist3d,0.0005,16,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_057,002_organ_lr,complete,75ab7b5,357f026e,2026-05-28T18:20:44Z,0.926229508196721,0.996495983817361,NaN,NaN,0.113114754098361,55,organmnist3d,0.001,16,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_041,002_organ_lr,complete,75ab7b5,3d3bee3f,2026-05-28T18:07:50Z,0.921311475409836,0.996252921494571,NaN,NaN,0.113114754098361,55,organmnist3d,0.0005,16,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_045,002_organ_lr,complete,75ab7b5,e78ed9a7,2026-05-28T18:11:59Z,0.921311475409836,0.996367990970612,NaN,NaN,0.113114754098361,41,organmnist3d,0.0005,32,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_047,002_organ_lr,complete,75ab7b5,f6e6f032,2026-05-28T18:13:41Z,0.919672131147541,0.995861140164462,NaN,NaN,0.113114754098361,41,organmnist3d,0.0005,32,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_051,002_organ_lr,complete,75ab7b5,2fe1f77d,2026-05-28T18:16:38Z,0.919672131147541,0.996130070903084,NaN,NaN,0.113114754098361,31,organmnist3d,0.001,16,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_025,002_organ_lr,complete,75ab7b5,bf97786a,2026-05-28T17:55:02Z,0.918032786885246,0.996516921303489,NaN,NaN,0.113114754098361,55,organmnist3d,0.0003,16,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_029,002_organ_lr,complete,75ab7b5,3c4974fc,2026-05-28T17:59:05Z,0.916393442622951,0.995077626271681,NaN,NaN,0.113114754098361,41,organmnist3d,0.0003,32,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_059,002_organ_lr,complete,75ab7b5,764579ed,2026-05-28T18:22:52Z,0.916393442622951,0.996829244223508,NaN,NaN,0.113114754098361,55,organmnist3d,0.001,16,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_063,002_organ_lr,complete,75ab7b5,10cead47,2026-05-28T18:26:29Z,0.916393442622951,0.996638417243958,NaN,NaN,0.113114754098361,41,organmnist3d,0.001,32,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
